,Անուն ազգանուն կամ կազմակերպություն,Ջրօգտագործման թույլտվության տեսակ,Ջրօգտագործման թույլտվության գործողության սկիզբ,Ջրօգտագործման թույլտվության գործողության վերջ,Ջրավազան,Ջրային ռեսուրսի անվանում,Ջրային ռեսուրսի տիպ,"Ջրառի վայր (մարզ, համայնք, բնակավայր)","Ջրօգտագործման վայր (մարզ, համայնք, բնակավայր)",Ջրօգտագործման նպատակ,Ջրառի ծավալ(հազ մ3/ տարի),Ջրային ռեսուրսի անվանում,Ջրահեռացման ծավալ(հազ մ3/ տարի),Ջրահեռացման ծավալ(լ/վրկ),Թույլտվության ժամկետ (տարով),Ջրառի տարեկան ծավալ (հազ մ3/տար)
1348,«Գեղարքունիք»(ՋՕԸ) Գեղարքունիքի մարզի Վարդենիս համայնքի Մեծ Մասրիկ բնակավայր,Նոր,2025-06-17,2028-06-17,Սևան,10 գործող խորքային հոր,Ստորերկրյա,Գեղարքունիք Վարդենիս գ. Մեծ Մասրիկ,Տվյալ չկա,ոռոգում,220.32,Տվյալ չկա,22.976,45.0,3.0,73.44
1349,«Գեղարքունիք»(ՋՕԸ) Գեղարքունիքի մարզի Վարդենիս համայնքի Մեծ Մասրիկ բնակավայր,Նոր,2025-06-17,2028-06-17,Սևան,10 գործող խորքային հոր,Ստորերկրյա,Գեղարքունիք Վարդենիս գ. Մեծ Մասրիկ,Տվյալ չկա,ոռոգում,257.04,Տվյալ չկա,22.976,45.0,3.0,85.68
1350,«Գեղարքունիք»(ՋՕԸ) Գեղարքունիքի մարզի Վարդենիս համայնքի Մեծ Մասրիկ բնակավայր,Նոր,2025-06-17,2028-06-17,Սևան,10 գործող խորքային հոր,Ստորերկրյա,Գեղարքունիք Վարդենիս գ. Մեծ Մասրիկ,Տվյալ չկա,ոռոգում,214.92,Տվյալ չկա,22.976,45.0,3.0,71.64
1351,«Գեղարքունիք»(ՋՕԸ) Գեղարքունիքի մարզի Վարդենիս համայնքի Մեծ Մասրիկ բնակավայր,Նոր,2025-06-17,2028-06-17,Սևան,10 գործող խորքային հոր,Ստորերկրյա,Գեղարքունիք Վարդենիս գ. Մեծ Մասրիկ,Տվյալ չկա,ոռոգում,388.8,Տվյալ չկա,22.976,45.0,3.0,129.6
1352,«Գեղարքունիք»(ՋՕԸ) Գեղարքունիքի մարզի Վարդենիս համայնքի Գեղամաբակ բնակավայր,Նոր,2025-06-17,2028-06-17,Սևան,Մասրիկ գետ՝ Գեղամաբակի ջրանցքով,Մակերևութային,Գեղարքունիք Վարդենիս գ. Գեղամաբակ,Գեղարքունիք Վարդենիս գ. Գեղամաբակ,ոռոգում,270.0,Տվյալ չկա,22.976,45.0,3.0,90.0
1353,«Տավուշ»(ՋՕԸ) Տավուշի մարզի Բերդ համայնքի Պառավաքար բնակավայր,Նոր,2025-06-17,2028-06-17,Հյուսիսային,Հախումի ջրամբար՝ Հախումի պոմպակայանով,Ջրային Համակարգ,Տավուշ Բերդ գ. Պառավաքար,Տվյալ չկա,ոռոգում,377.6,Տվյալ չկա,22.976,45.0,3.0,125.87
1354,«Տավուշ»(ՋՕԸ) Տավուշի մարզի Բերդ համայնքի Պառավաքար բնակավայր,Նոր,2025-06-17,2028-06-17,Հյուսիսային,Հախումի ջրամբար՝Պառավաքարի ներքին ջրանցքով,Ջրային Համակարգ,Տավուշ Բերդ գ. Պառավաքար,Տավուշ Բերդ գ. Պառավաքար,ոռոգում,696.1,Տվյալ չկա,22.976,45.0,3.0,232.03
1355,"""«Տավուշ»(ՋՕԸ) Տավուշի մարզի Բերդ համայնքի Բերդ քաղաքի",304,,2025-06-17,17/06/2028,Հյուսիսային,Տավուշի ջրամբարից՝ Տավուշի պոմպակայանով,Ջրային Համակարգ,Տավուշ Բերդ գ. Տավուշ,Տվյալ չկա,25.92,21.5,22.976,45.0,0.0,0.0
1356,"""«Տավուշ»(ՋՕԸ) Տավուշի մարզի Բերդ համայնքի Ծաղկավան",301,,2025-06-17,17/06/2028,Հյուսիսային,Հախում գետ՝ Քարագյուղ-Պառավաքարի ջրատարով,Մակերևութային,Տավուշ Բերդ գ. Չինչին,Տվյալ չկա,25.92,77.7,22.976,45.0,0.0,0.0
1357,«Տավուշ»(ՋՕԸ) Տավուշի մարզի նոյեմբերյան համայնքի Բագրատաշեն և Դեբեդավան բնակավայրեր,Նոր,2025-06-17,2028-06-17,Հյուսիսային,Դեբեդ գետ՝լալվարի N1 ջ/կ-ով,Մակերևութային,Տավուշ Նոյեմբերյան գ. Բագրատաշեն,"""Տավուշ Նոյեմբերյան գ. Բագրատաշեն","Տավուշ Նոյեմբերյան գ. Դեբետավան""",25.92,106.3,22.976,45.0,3.0,8.64
1358,«Տավուշ»(ՋՕԸ) Տավուշի մարզի նոյեմբերյան համայնքի Բագրատաշեն և Դեբեդավան բնակավայրեր,Նոր,2025-06-17,2028-06-17,Հյուսիսային,Հայ- առու ջրանցք,Ջրային Համակարգ,Տավուշ Նոյեմբերյան գ. Բագրատաշեն,Տվյալ չկա,ոռոգում,968.5,Տվյալ չկա,22.976,45.0,3.0,322.83
1359,«Լոռի»(ՋՕԸ),Նոր,2025-06-17,2028-06-17,Հյուսիսային,Ագարակ գետ՝ Լոռվա ջրանցքով,Մակերևութային,Լոռի Լոռի բերդ գ. Ագարակ,Տվյալ չկա,ոռոգում,97.813,Տվյալ չկա,22.976,45.0,3.0,32.6
1360,«Լոռի»(ՋՕԸ),Նոր,2025-06-17,2028-06-17,Հյուսիսային,Հովնանաձոր գետ՝ Լոռվա ջրանցքով,Մակերևութային,Լոռի Լոռի բերդ գ. Հովնանաձոր,Տվյալ չկա,ոռոգում,1715.306,Տվյալ չկա,22.976,45.0,3.0,571.77
1361,«Լոռի»(ՋՕԸ),Նոր,2025-06-17,2028-06-17,Հյուսիսային,ՈՒռուտ գետ՝ Լոռվա ջրանցքով,Մակերևութային,Լոռի Գյուլագարակ գ. Վարդաբլուր,Տվյալ չկա,ոռոգում,687.819,Տվյալ չկա,22.976,45.0,3.0,229.27
1362,«Լոռի»(ՋՕԸ),Նոր,2025-06-17,2028-06-17,Հյուսիսային,Տաշիր գետ՝ Լոռվա ջրանցքով,Մակերևութային,Լոռի Ստեփանավան գ. Կաթնաղբյուր,Տվյալ չկա,ոռոգում,2380.4,Տվյալ չկա,22.976,45.0,3.0,793.47
1363,«Լոռի»(ՋՕԸ),Նոր,2025-06-17,2028-06-17,Հյուսիսային,Ձորագետ գետ՝ Լոռվա ջրանցքով,Մակերևութային,Լոռի Լոռի բերդ գ. Բովաձոր,Տվյալ չկա,ոռոգում,5126.875,Տվյալ չկա,22.976,45.0,3.0,1708.96
1364,«Արկարգազ»(ՍՊԸ),Նոր,2025-06-17,2028-06-17,Հարավային,Ողջի գետ,Մակերևութային,Սյունիք Կապան ք. Կապան,Սյունիք Կապան ք. Կապան,Արդյունաբերական,37.648,Ողջի գետ,2.836,0.08,3.0,12.55
1365,Շիրակի մարզ Անի համայնք(ՏԻՄ) Ջրափի բնակավայր,Նոր,2025-07-03,2028-07-03,Ախուրյան,1գործող խ․հ․,Ստորերկրյա,Շիրակ Անի գ. Ջրափի,Շիրակ Անի գ. Ջրափի,Խմելու-կենցաղային,53.58,Տվյալ չկա,22.976,45.0,3.0,17.86
1366,Շիրակի մարզ Անի համայնք(ՏԻՄ) Հայկաձոր բնակավայր,Նոր,2025-07-03,2028-07-03,Ախուրյան,1 գործող խ․ հ․,Ստորերկրյա,Շիրակ Անի գ. Հայկաձոր,Շիրակ Անի գ. Հայկաձոր,Խմելու-կենցաղային,26.11,Տվյալ չկա,22.976,45.0,3.0,8.7
1367,Շիրակի մարզ Անի համայնք(ՏԻՄ) Իսահակյան բնակավայր,Նոր,2025-07-03,2028-07-03,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Շիրակ Անի գ. Իսահակյան,Շիրակ Անի գ. Իսահակյան,Խմելու-կենցաղային,66.1,Տվյալ չկա,22.976,45.0,3.0,22.03
1368,Շիրակի մարզ Անի համայնք(ՏԻՄ) Լուսաղբյուր և Շիրակավան բնակավայրեր,Նոր,2025-07-03,2028-07-03,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Շիրակ Անի գ. Լուսաղբյուր,"""Շիրակ Անի գ. Լուսաղբյուր","Շիրակ Անի գ. Շիրակավան""",25.92,2.7,22.976,45.0,3.0,8.64
1369,«Ֆարել ֆիշ»(ՍՊԸ),Երկարաձգված և Վերանայված,2025-07-03,2027-01-03,Հրազդան,5 գործող խորքային հոր,Ստորերկրյա,Արարատ Մասիս գ. Նորամարգ; Արարատ Մասիս գ. Նորամարգ,Արարատ Մասիս գ. Նորամարգ,Ձկնաբուծական,16966.36,"""դրենաժային համակարգ",22.976,16945.6,1.5,11310.91
1370,Լևոն Անտոնի Բաբոյան(Ֆիզ․ ԱՆՁ),Նոր,2025-07-03,2026-07-03,Հրազդան,1 հորատվող խորքային հոր,Ստորերկրյա,Արագածոտն Աշտարակ գ. Բյուրական,Տվյալ չկա,ոռոգում,2.091,Տվյալ չկա,22.976,45.0,1.0,2.09
1371,Լևոն Անտոնի Բաբոյան(Ֆիզ․ ԱՆՁ),Նոր,2025-07-03,2026-07-03,Հրազդան,1 հորատվող խորքային հոր,Ստորերկրյա,Արագածոտն Աշտարակ գ. Բյուրական,Արագածոտն Աշտարակ գ. Բյուրական,Կոմունալ-կենցաղային,28.965,ջրանթափանց հոր՝ այնուհետև կոյուղու կոլեկտոր,27.307,0.87,1.0,28.96
1372,Շիրակի մարզ Անի համայնք(ՏԻՄ) Անիվան և Անիպեմզա բնակավայրեր,Նոր,2025-07-03,2028-07-03,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Շիրակ Անի գ. Բագրավան,"""Շիրակ Անի ","Շիրակ Անի գ. Անիպեմզա""",25.92,1.21,22.976,45.0,3.0,8.64
1373,Գեղարքունիքի մարզի Մարտունի համայնք(ՏԻՄ) Աստղաձոր բնակավայր,Նոր,2025-07-03,2028-07-03,Սևան,1 գործող խորքային հոր,Ստորերկրյա,Գեղարքունիք Մարտունի գ. Աստղաձոր,Գեղարքունիք Մարտունի գ. Աստղաձոր,Խմելու-կենցաղային,83.333,Տվյալ չկա,22.976,45.0,3.0,27.78
1374,Շիրակի մարզ Անի համայնք(ՏԻՄ) Աղին բնակավայր,Նոր,2025-07-03,2028-07-03,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Շիրակ Անի գ. Աղին,Շիրակ Անի գ. Աղին,Խմելու-կենցաղային,24.69,Տվյալ չկա,22.976,45.0,3.0,8.23
1375,«Ալեն ֆիշ»(ՍՊԸ),Վերաձևակերպված,2025-07-03,2026-03-27,Հրազդան,Սևջուր գետ թափվող դրենաժային համակարգ,Մակերևութային,Արարատ Մասիս գ. Սիս,Արարատ Մասիս գ. Սիս,Ձկնաբուծական,14191.13,"""դրենաժային համակարգ",22.976,12772.018,0.73,19439.9
1376,Շիրակի մարզ Անի համայնք(ՏԻՄ) Բագրավան բնակավայր,Նոր,2025-07-03,2028-07-03,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Շիրակ Անի գ. Բագրավան,Շիրակ Անի գ. Բագրավան,Խմելու-կենցաղային,47.672,Տվյալ չկա,22.976,45.0,3.0,15.89
1377,Շիրակի մարզ Անի համայնք(ՏԻՄ) Սառնաղբյուր բնակավայր,Նոր,2025-07-03,2028-07-03,Ախուրյան,Չլկաններ կոչվող աղբյուր,Ստորերկրյա,Շիրակ Անի գ. Սառնաղբյուր,Տվյալ չկա,Խմելու-կենցաղային,81.76,Տվյալ չկա,22.976,45.0,3.0,27.25
1378,Շիրակի մարզ Անի համայնք(ՏԻՄ) Սառնաղբյուր բնակավայր,Նոր,2025-07-03,2028-07-03,Ախուրյան,Չաղայի կոչվող աղբյուր,Ստորերկրյա,Շիրակ Անի գ. Սառնաղբյուր,Շիրակ Անի գ. Սառնաղբյուր,Խմելու-կենցաղային,67.27,Տվյալ չկա,22.976,45.0,3.0,22.42
1379,«Անտրացիտ»(ՍՊԸ),Նոր,2025-07-03,2028-07-03,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Կոտայք Աբովյան գ. Կամարիս,Կոտայք Աբովյան գ. Կամարիս,Արդյունաբերական,80.723,"""ջրավազան",22.976,79.293,3.0,26.91
1380,«Գլոբալ Ֆիշ»(ՍՊԸ),Նոր,2025-07-03,2028-07-03,Հրազդան,1 գործող գրունտային հոր,Ստորերկրյա,Արարատ Մասիս գ. Դարբնիկ,Արարատ Մասիս գ. Դարբնիկ,Արդյունաբերական,238.768,Հրազդան գետ,206.906,13.12,3.0,79.59
1381,«Արամ Բարսեղյան»(ԱՁ),Երկարաձգված և Վերանայված,2025-07-03,2027-01-03,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Արարատ Մասիս գ. Հովտաշատ,Արարատ Մասիս գ. Հովտաշատ,Ձկնաբուծական,2525.551,"""դրենաժային համակարգ",22.976,2272.997,1.5,1683.7
1382,Արագածոտնի մարզ Շամիրամ համայնք(ՏԻՄ),Նոր,2025-07-03,2028-07-03,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Արագածոտն Շամիրամ գ. Շամիրամ,Արագածոտն Շամիրամ գ. Շամիրամ,Խմելու-կենցաղային,209.042,Տվյալ չկա,22.976,45.0,3.0,69.68
1383,Արագածոտնի մարզ Շամիրամ համայնք(ՏԻՄ),Նոր,2025-07-03,2028-07-03,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Արագածոտն Շամիրամ գ. Շամիրամ,Տվյալ չկա,ոռոգում,172.2,Տվյալ չկա,22.976,45.0,3.0,57.4
1384,Արմեն Մանուկյան Ռաֆիկի(Ֆիզ․ ԱՆՁ),Նոր,2025-07-03,2028-07-03,Սևան,1 գործող խորքային հոր,Ստորերկրյա,Գեղարքունիք Մարտունի ք. Մարտունի,Գեղարքունիք Մարտունի ք. Մարտունի,Խմելու-կենցաղային / Արդյունաբերական,31.536,ջրանթափանց հոր կոյուղու կոլեկտոր,29.8386,0.95,3.0,10.51
1385,Հակոբ Հակոբյան(Ֆիզ․ ԱՆՁ),Նոր,2025-07-03,2028-07-03,Սևան,1 գործող խորքային հոր,Ստորերկրյա,Գեղարքունիք Սևան ք. Սևան,Գեղարքունիք Սևան ք. Սևան,Խմելու-կենցաղային,4.953,ջրանթափանց հոր կոյուղու կոլեկտոր,4.46,0.308,3.0,1.65
1386,Հակոբ Հակոբյան(Ֆիզ․ ԱՆՁ),Նոր,2025-07-03,2028-07-03,Սևան,1 գործող խորքային հոր,Ստորերկրյա,Գեղարքունիք Սևան ք. Սևան,Տվյալ չկա,ոռոգում,3.743,Տվյալ չկա,22.976,45.0,3.0,1.25
1387,«Գործիքագործ»(ԲԲԸ),Նոր,2025-07-03,2028-07-03,Արարատյան,1 գործող խորքային հոր,Ստորերկրյա,Արարատ Արտաշատ գ. Ոստան,Արարատ Արտաշատ գ. Ոստան,ոռոգում,25.2,Տվյալ չկա,22.976,45.0,3.0,8.4
1388,«ԳրինՀաուզ»(ՍՊԸ),Նոր,2025-07-03,2028-07-03,Արարատյան,1 գործող խորքային հոր,Ստորերկրյա,Արարատ Արտաշատ գ. Շահումյան,Արարատ Արտաշատ գ. Շահումյան,ոռոգում,384.142,դրենաժային համակարգ՝ այնուհետև Արաքս գետ,76.912,2.44,3.0,128.05
1389,«ԳՐԻՆ ՀԱՈՒԶ»(ՍՊԸ),Նոր,2025-07-03,2028-07-03,Արարատյան,2 գործող խորքային հոր,Ստորերկրյա,Արարատ Արտաշատ գ. Շահումյան; Արարատ Արտաշատ գ. Շահումյան,Արարատ Արտաշատ գ. Շահումյան,ոռոգում,2216.28,դրենաժային համակարգ՝ այնուհետև Արաքս գետ,443.256,14.0,3.0,738.76
1390,«Սաղմոն Գրուպ»(ՍՊԸ),Նոր,2025-07-03,2028-07-03,Արարատյան,դրենաժային համակարգ,Մակերևութային,Արարատ Արտաշատ գ. Մխչյան,Արարատ Արտաշատ գ. Մխչյան,Ձկնաբուծական,1263.5,դրենաժային համակարգ՝ այնուհետև Հրազդան գետ,1137.17,36.0,3.0,421.17
1391,«Երևան Մարմըլեյդ Ինդըսթրիս»(ՍՊԸ),Երկարաձգված և Վերանայված,2025-07-08,2028-07-08,Ախուրյան,"""1 գործող և 1 չշահագործվող խ","հ․""",Ստորերկրյա,Արմավիր Բաղրամյան գ. Քարակերտ; Արմավիր Բաղրամյան գ. Քարակերտ,Արմավիր Բաղրամյան գ. Քարակերտ,25.92,1.744,22.976,4.789,3.0,8.64
1392,«Երևան Մարմըլեյդ Ինդըսթրիս»(ՍՊԸ),Երկարաձգված և Վերանայված,2025-07-08,2028-07-08,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,25.92,Սելավ- Մաստարա,14.165,1.366,3.0,8.64
1393,Գևորգ Ժորայի Զաքարյան(Ֆիզ․ ԱՆՁ),Վերաձևակերպված,2025-07-08,2027-01-08,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Արաքս գ. Ապագա,Արմավիր Արաքս գ. Ապագա,Ձկնաբուծական,347.258,դրենաժային համակարգ այնուհետև՝ Սևջուր գետ,312.534,10.0,1.5,231.51
1394,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիրի մարզի Մեծամոր համայնքի Եղեգնուտ բնակավայր,Երկարաձգված,2025-07-08,2028-07-08,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Եղեգնուտ; Արմավիր Մեծամոր գ. Եղեգնուտ,Արմավիր Մեծամոր գ. Եղեգնուտ,ոռոգում,980.5,Տվյալ չկա,22.976,45.0,3.0,326.83
1395,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիրի մարզի Մեծամոր համայնքի Մայիսյան բնակավայր,Երկարաձգված,2025-07-08,2028-07-08,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Մայիսյան,Արմավիր Մեծամոր գ. Մայիսյան,ոռոգում,530.7,Տվյալ չկա,22.976,45.0,3.0,176.9
1396,«Կա Ագրի»(ՍՊԸ),Վերաձևակերպված,2025-07-08,2028-07-08,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Արագածոտն Աշտարակ գ. Կարբի,Արագածոտն Աշտարակ գ. Կարբի,ոռոգում,15.227,Տվյալ չկա,22.976,45.0,3.0,5.08
1397,Խաչատուր Սահակյան,Երկարաձգված և Վերանայված,2025-07-08,2027-01-08,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Արարատ Մասիս գ. Սիփանիկ,Արարատ Մասիս գ. Սիփանիկ,Ձկնաբուծական,1264.5,"""դրենաժային համակարգ",22.976,1138.06,1.5,843.0
